time(s),flow(L/m)
0,0
0.002,0.257303
0.004,0.514605
0.006,0.771908
0.008,1.02921
0.01,1.28651
0.012,1.54382
0.014,1.80112
0.016,2.05842
0.018,2.31572
0.02,2.57303
0.022,2.83033
0.024,3.08763
0.026,3.34494
0.028,3.60224
0.03,3.85954
0.032,4.11684
0.034,4.37415
0.036,4.63145
0.038,4.88875
0.04,5.14605
0.042,5.40336
0.044,5.66066
0.046,5.91796
0.048,6.17527
0.05,6.43257
0.052,6.68987
0.054,6.94717
0.056,7.20448
0.058,7.46178
0.06,7.71908
0.062,7.97638
0.064,8.23369
0.066,8.49099
0.068,8.74829
0.07,9.0056
0.072,9.2629
0.074,9.5202
0.076,9.7775
0.078,10.0348
0.08,10.2921
0.082,10.5494
0.084,10.8067
0.086,11.064
0.088,11.3213
0.09,11.5786
0.092,11.8359
0.094,12.0932
0.096,12.3505
0.098,12.6078
0.1,12.8651
0.102,13.1224
0.104,13.3797
0.106,13.637
0.108,13.8943
0.11,14.1517
0.112,14.409
0.114,14.6663
0.116,14.9236
0.118,15.1809
0.12,15.4382
0.122,15.6955
0.124,15.9528
0.126,16.2101
0.128,16.4674
0.13,16.7247
0.132,16.982
0.134,17.2393
0.136,17.4966
0.138,17.7539
0.14,18.0112
0.142,18.2685
0.144,18.5258
0.146,18.7831
0.148,19.0404
0.15,19.2977
0.152,19.555
0.154,19.8123
0.156,20.0696
0.158,20.3269
0.16,20.5842
0.162,20.8415
0.164,21.0988
0.166,21.3561
0.168,21.6134
0.17,21.8707
0.172,22.128
0.174,22.3853
0.176,22.6426
0.178,22.8999
0.18,23.1572
0.182,23.4145
0.184,23.6719
0.186,23.9292
0.188,24.1865
0.19,24.4438
0.192,24.7011
0.194,24.9584
0.196,25.2157
0.198,25.473
0.2,25.7303
0.202,25.8135
0.204,25.8967
0.206,25.9798
0.208,26.063
0.21,26.1462
0.212,26.2294
0.214,26.3126
0.216,26.3958
0.218,26.479
0.22,26.5622
0.222,26.6454
0.224,26.7285
0.226,26.8117
0.228,26.8949
0.23,26.9781
0.232,27.0613
0.234,27.1445
0.236,27.2277
0.238,27.3109
0.24,27.3941
0.242,27.4772
0.244,27.5604
0.246,27.6436
0.248,27.7268
0.25,27.81
0.252,27.8932
0.254,27.9764
0.256,28.0596
0.258,28.1428
0.26,28.2259
0.262,28.3091
0.264,28.3923
0.266,28.4755
0.268,28.5587
0.27,28.6419
0.272,28.7251
0.274,28.8083
0.276,28.8915
0.278,28.9746
0.28,29.0578
0.282,29.141
0.284,29.2242
0.286,29.3074
0.288,29.3906
0.29,29.4738
0.292,29.557
0.294,29.6402
0.296,29.7233
0.298,29.8065
0.3,29.8897
0.302,29.9729
